model,Mean price,Mean mpg,Count model
 A1,14541.7484375,57.574296874999995,1280
 A2,2490.0,65.7,1
 A3,17782.611777535443,55.40496183206107,1834
 A4,20504.681180811807,54.424944649446495,1355
 A5,23644.621559633026,50.39564220183486,872
 A6,23010.927197802197,54.39835164835165,728
 A7,28865.516393442624,47.072131147540986,122
 A8,35368.38938053097,44.482300884955755,113
 Q2,22500.938725490196,47.87830882352941,816
 Q3,22844.93650793651,46.23881673881674,1386
 Q5,29981.3779342723,40.999530516431925,852
 Q7,42579.64525139665,38.289106145251395,358
 Q8,53494.48837209302,33.358139534883726,43
 R8,47787.0,21.599999999999998,6
 RS3,34050.51515151515,33.07575757575758,33
 RS4,44799.75,29.008333333333336,24
 RS5,49150.64,30.168000000000003,25
 RS6,49216.0625,29.30625,32
 RS7,33490.0,28.8,1
 S3,21284.70588235294,41.5,17
 S4,27248.777777777777,33.12222222222223,9
 S5,15980.0,33.9,3
 S8,33807.75,29.625,4
 SQ5,28385.928571428572,38.42857142857143,14
 SQ7,49269.0,39.2,8
 TT,21934.12688821752,45.566465256797585,331
