,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
count,10267,10267.0,10267.0,10267,10267.0,10267,10267.0,10267.0,10267.0
unique,26,,,3,,2,,,
top, A3,,,Manual,,Diesel,,,
freq,1834,,,4174,,5303,,,
mean,,2017.14619655206,22516.594818350055,,23940.041492159344,,126.7746177072173,50.400389597740336,1.9235122236291031
std,,2.051299022867086,9912.94829809427,,21421.701910499258,,65.28625130847799,11.145366362490769,0.5539828119127813
min,,1998.0,1490.0,,5.0,,0.0,19.3,1.0
25%,,2016.0,15495.0,,6000.0,,125.0,40.9,1.5
50%,,2017.0,20350.0,,18833.0,,145.0,49.6,2.0
75%,,2019.0,27897.5,,35788.0,,145.0,57.6,2.0
max,,2020.0,59990.0,,101860.0,,580.0,76.4,4.2
